Date,Month
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
1/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
2/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
3/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
4/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
5/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
6/12/2017,12
